PTPtime,Timestamp, Frame Number, Version Number, Num Detections, Num Tracks, Host Speed, DSPWorkload, ARMWorkload, Host YawDiff, TrackID, TrackX, TrackY, TrackZ,TrackXdot, TrackYdot, TrackZdot, Flag, Class, Confidence
200042250,1642055067550693,15661,2231021606,502,3,0,58,22,0,1760,-0.11,0.23,2.16,0,0,0,2,0,0
200042250,1642055067550693,15661,2231021606,502,3,0,58,22,0,1762,0.77,0.58,5.37,0,0,0,2,0,0
200042250,1642055067550693,15661,2231021606,502,3,0,58,22,0,3635,-0.37,0.79,7.23,0,0,0,2,0,0
266707730,1642055067617695,15662,2231021606,508,3,0,59,23,0,1760,-0.1,0.23,2.16,0,0,0,2,0,0
266707730,1642055067617695,15662,2231021606,508,3,0,59,23,0,1762,0.78,0.58,5.37,0,0,0,2,0,0
266707730,1642055067617695,15662,2231021606,508,3,0,59,23,0,3635,-0.37,0.79,7.23,0,0,0,2,0,0
333385210,1642055067683682,15663,2231021606,502,3,0,58,23,0,1760,-0.11,0.23,2.16,0,0,0,2,0,0
333385210,1642055067683682,15663,2231021606,502,3,0,58,23,0,1762,0.77,0.58,5.37,0,0,0,2,0,0
333385210,1642055067683682,15663,2231021606,502,3,0,58,23,0,3635,-0.34,0.79,7.23,0,0,0,2,0,0
400030680,1642055067750982,15664,2231021606,497,3,0,58,23,0,1760,-0.1,0.23,2.16,0,0,0,2,0,0
400030680,1642055067750982,15664,2231021606,497,3,0,58,23,0,1762,0.79,0.57,5.36,0,0,0,2,0,0
400030680,1642055067750982,15664,2231021606,497,3,0,58,23,0,3635,-0.37,0.79,7.21,0,0,0,2,0,0
466697180,1642055067816906,15665,2231021606,504,3,0,58,23,0,1760,-0.1,0.23,2.16,0,0,0,2,0,0
466697180,1642055067816906,15665,2231021606,504,3,0,58,23,0,1762,0.78,0.57,5.36,0,0,0,2,0,0
466697180,1642055067816906,15665,2231021606,504,3,0,58,23,0,3635,-0.37,0.79,7.21,0,0,0,2,0,0
533359660,1642055067884113,15666,2231021606,507,3,0,58,23,0,1760,-0.09,0.23,2.16,0,0,0,2,0,0
533359660,1642055067884113,15666,2231021606,507,3,0,58,23,0,1762,0.78,0.57,5.37,0,0,0,2,0,0
533359660,1642055067884113,15666,2231021606,507,3,0,58,23,0,3635,-0.19,0.79,7.24,0,0,0,2,0,0
600026130,1642055067951129,15667,2231021606,492,4,0,58,23,0,1760,-0.08,0.23,2.16,0,0,0,2,0,0
600026130,1642055067951129,15667,2231021606,492,4,0,58,23,0,1762,0.76,0.57,5.38,0,0,0,2,0,0
600026130,1642055067951129,15667,2231021606,492,4,0,58,23,0,3635,-0.18,0.79,7.26,0,0,0,2,0,0
600026130,1642055067951129,15667,2231021606,492,4,0,58,23,0,3664,1.8,0.56,3.66,-0.17,-0.26,-0.02,2,0,0
666719600,1642055068017201,15668,2231021606,479,3,0,58,23,0,1760,-0.09,0.23,2.16,0,0,0,2,0,0
666719600,1642055068017201,15668,2231021606,479,3,0,58,23,0,1762,0.78,0.57,5.37,0,0,0,2,0,0
666719600,1642055068017201,15668,2231021606,479,3,0,58,23,0,3635,-0.24,0.79,7.23,0,0,0,2,0,0
733367080,1642055068083972,15669,2231021606,491,3,0,58,23,0,1760,-0.08,0.23,2.16,0,0,0,2,0,0
733367080,1642055068083972,15669,2231021606,491,3,0,58,23,0,1762,0.78,0.57,5.38,0,0,0,2,0,0
733367080,1642055068083972,15669,2231021606,491,3,0,58,23,0,3635,-0.35,0.79,7.23,0,0,0,2,0,0
800058580,1642055068150663,15670,2231021606,495,3,0,59,23,0,1760,-0.07,0.23,2.17,0,0,0,2,0,0
800058580,1642055068150663,15670,2231021606,495,3,0,59,23,0,1762,0.79,0.57,5.38,0,0,0,2,0,0
800058580,1642055068150663,15670,2231021606,495,3,0,59,23,0,3635,-0.36,0.79,7.21,0,0,0,2,0,0
866720090,1642055068217135,15671,2231021606,494,3,0,58,22,0,1760,-0.07,0.23,2.18,0,0,0,2,0,0
866720090,1642055068217135,15671,2231021606,494,3,0,58,22,0,1762,0.78,0.57,5.38,0,0,0,2,0,0
866720090,1642055068217135,15671,2231021606,494,3,0,58,22,0,3635,-0.36,0.79,7.21,0,0,0,2,0,0
933373550,1642055068283690,15672,2231021606,491,3,0,58,23,0,1760,-0.07,0.24,2.18,0,0,0,2,0,0
933373550,1642055068283690,15672,2231021606,491,3,0,58,23,0,1762,0.79,0.57,5.38,0,0,0,2,0,0
933373550,1642055068283690,15672,2231021606,491,3,0,58,23,0,3635,-0.24,0.79,7.23,0,0,0,2,0,0
21810,1642055068349928,15673,2231021606,512,3,0,59,23,0,1760,-0.07,0.23,2.18,0,0,0,2,0,0
21810,1642055068349928,15673,2231021606,512,3,0,59,23,0,1762,0.8,0.57,5.38,0,0,0,2,0,0
21810,1642055068349928,15673,2231021606,512,3,0,59,23,0,3635,-0.19,0.79,7.22,0,0,0,2,0,0
66710300,1642055068416951,15674,2231021606,524,3,0,58,23,0,1760,-0.07,0.23,2.17,0,0,0,2,0,0
66710300,1642055068416951,15674,2231021606,524,3,0,58,23,0,1762,0.8,0.57,5.36,0,0,0,2,0,0
66710300,1642055068416951,15674,2231021606,524,3,0,58,23,0,3635,-0.16,0.79,7.23,0,0,0,2,0,0
133382770,1642055068483770,15675,2231021606,512,3,0,58,23,0,1760,-0.07,0.23,2.17,0,0,0,2,0,0
